Date,adj_close
11-07-2005,7.939126
18-07-2005,7.964798
25-07-2005,8.01614
01-08-2005,9.184226
08-08-2005,9.07512
15-08-2005,8.715708
22-08-2005,8.497494
29-08-2005,9.062283
05-09-2005,9.331841
12-09-2005,9.07512
19-09-2005,8.073902
26-09-2005,8.516749
03-10-2005,8.882577
10-10-2005,8.304953
17-10-2005,8.157339
24-10-2005,8.144501
31-10-2005,8.452567
07-11-2005,8.536002
14-11-2005,8.497494
21-11-2005,8.734962
28-11-2005,8.895414
05-12-2005,9.113628
12-12-2005,8.959593
19-12-2005,8.773472
26-12-2005,8.779889
02-01-2006,9.17139
09-01-2006,9.524382
16-01-2006,9.197062
23-01-2006,10.525598
30-01-2006,10.08917
06-02-2006,10.24962
13-02-2006,10.42291
20-02-2006,10.300966
27-02-2006,10.962025
06-03-2006,11.488303
13-03-2006,11.533231
20-03-2006,11.809207
27-03-2006,12.906694
03-04-2006,12.951619
10-04-2006,12.284142
17-04-2006,12.48952
01-05-2006,13.47148
08-05-2006,13.587007
15-05-2006,12.329068
22-05-2006,11.789953
29-05-2006,11.63592
05-06-2006,10.185442
12-06-2006,10.281712
19-06-2006,10.551269
26-06-2006,10.063498
03-07-2006,10.474252
10-07-2006,9.806776
17-07-2006,9.646325
24-07-2006,10.281712
31-07-2006,10.281712
07-08-2006,11.520395
14-08-2006,11.039043
21-08-2006,11.10964
28-08-2006,11.520395
04-09-2006,11.3086
11-09-2006,11.321433
18-09-2006,11.366361
25-09-2006,11.86697
02-10-2006,13.092817
09-10-2006,12.78475
16-10-2006,14.292993
23-10-2006,13.83731
30-10-2006,14.440605
06-11-2006,14.76151
13-11-2006,14.844939
20-11-2006,16.78961
27-11-2006,16.46229
04-12-2006,18.002623
11-12-2006,18.214417
18-12-2006,16.930809
25-12-2006,17.270966
01-01-2007,17.771572
08-01-2007,18.208
15-01-2007,20.53775
22-01-2007,20.017887
29-01-2007,19.433849
05-02-2007,19.465937
12-02-2007,19.363249
19-02-2007,19.29265
26-02-2007,18.208
05-03-2007,15.563765
12-03-2007,16.10288
19-03-2007,19.607134
26-03-2007,17.970531
02-04-2007,18.272181
09-04-2007,19.222052
16-04-2007,19.318323
23-04-2007,19.530117
30-04-2007,19.555788
07-05-2007,19.812511
14-05-2007,22.437492
21-05-2007,21.968973
28-05-2007,21.763594
04-06-2007,20.974178
11-06-2007,19.639227
18-06-2007,20.223265
25-06-2007,23.124224
02-07-2007,25.222927
09-07-2007,23.515724
16-07-2007,23.342442
23-07-2007,23.111385
30-07-2007,24.31798
06-08-2007,23.40662
13-08-2007,21.802105
20-08-2007,20.967758
27-08-2007,23.727522
03-09-2007,24.125439
10-09-2007,22.983027
17-09-2007,23.862299
24-09-2007,26.564299
01-10-2007,25.537413
08-10-2007,24.97904
15-10-2007,22.495255
22-10-2007,27.417896
29-10-2007,29.048086
05-11-2007,28.566727
12-11-2007,30.620504
19-11-2007,29.42675
26-11-2007,29.638544
03-12-2007,31.454842
10-12-2007,32.141579
17-12-2007,30.151987
24-12-2007,32.070984
31-12-2007,33.380264
07-01-2008,33.174885
14-01-2008,31.833511
21-01-2008,29.85676
28-01-2008,32.552338
04-02-2008,30.485723
11-02-2008,32.051727
18-02-2008,30.113478
25-02-2008,31.673061
03-03-2008,23.149897
10-03-2008,22.289879
17-03-2008,17.598284
24-03-2008,23.239746
31-03-2008,18.933241
07-04-2008,20.653275
14-04-2008,21.641657
21-04-2008,21.821362
28-04-2008,22.424656
05-05-2008,20.948503
12-05-2008,22.007486
19-05-2008,20.550589
26-05-2008,19.972963
02-06-2008,19.972963
09-06-2008,17.957697
16-06-2008,17.206783
23-06-2008,15.916756
30-06-2008,14.074778
07-07-2008,15.011809
14-07-2008,15.37764
21-07-2008,16.314678
28-07-2008,16.301838
04-08-2008,17.765154
11-08-2008,16.783195
18-08-2008,16.449453
25-08-2008,17.22604
01-09-2008,18.285017
08-09-2008,17.251711
15-09-2008,17.797245
22-09-2008,16.006611
29-09-2008,15.101664
06-10-2008,9.235569
13-10-2008,9.858119
20-10-2008,8.381969
27-10-2008,8.754216
03-11-2008,10.51276
10-11-2008,9.575727
17-11-2008,7.59255
24-11-2008,7.855689
01-12-2008,8.407642
08-12-2008,9.46662
15-12-2008,10.159768
22-12-2008,9.306168
29-12-2008,10.448581
05-01-2009,9.742596
12-01-2009,9.524382
19-01-2009,8.150919
26-01-2009,7.849271
02-02-2009,7.547623
09-02-2009,7.656731
16-02-2009,6.892983
23-02-2009,6.584917
02-03-2009,5.448922
09-03-2009,5.628627
16-03-2009,5.737734
23-03-2009,7.117615
30-03-2009,6.899401
13-04-2009,9.03019
20-04-2009,9.781105
04-05-2009,10.339475
11-05-2009,12.252051
18-05-2009,16.090046
25-05-2009,16.128551
01-06-2009,17.149023
08-06-2009,16.558561
15-06-2009,17.091259
22-06-2009,18.394123
29-06-2009,18.329943
06-07-2009,16.507215
13-07-2009,18.541737
20-07-2009,20.614767
27-07-2009,20.492823
03-08-2009,18.727863
10-08-2009,20.364462
17-08-2009,22.232115
24-08-2009,21.757183
31-08-2009,21.564638
07-09-2009,22.488838
14-09-2009,25.216507
21-09-2009,24.273052
05-10-2009,26.795347
12-10-2009,30.395874
19-10-2009,32.905327
26-10-2009,30.581995
02-11-2009,32.62294
09-11-2009,33.784599
16-11-2009,33.309662
23-11-2009,31.942623
30-11-2009,33.925804
07-12-2009,32.860401
14-12-2009,32.186508
04-01-2010,33.726841
11-01-2010,34.285206
18-01-2010,33.277573
25-01-2010,31.993961
01-02-2010,30.716776
08-02-2010,30.472883
15-02-2010,29.439579
22-02-2010,30.370201
01-03-2010,32.295609
08-03-2010,32.57159
15-03-2010,31.743664
22-03-2010,32.269943
29-03-2010,33.123543
05-04-2010,33.842358
12-04-2010,32.019634
19-04-2010,34.792233
26-04-2010,36.666306
03-05-2010,33.983559
10-05-2010,35.023281
17-05-2010,34.066998
24-05-2010,36.165695
31-05-2010,37.507069
07-06-2010,36.916611
14-06-2010,35.928234
21-06-2010,34.946266
28-06-2010,35.331875
05-07-2010,37.693489
12-07-2010,39.50758
19-07-2010,39.824219
26-07-2010,39.006237
02-08-2010,39.09198
09-08-2010,42.35075
16-08-2010,43.736057
23-08-2010,42.456295
30-08-2010,42.04071
06-09-2010,42.31776
13-09-2010,43.465591
20-09-2010,44.455097
27-09-2010,47.100372
04-10-2010,46.361546
11-10-2010,45.787632
18-10-2010,48.709961
25-10-2010,47.430206
01-11-2010,49.396019
08-11-2010,45.754646
15-11-2010,42.456295
22-11-2010,40.516872
29-11-2010,43.531559
06-12-2010,38.748962
13-12-2010,39.448208
20-12-2010,40.629013
27-12-2010,41.268898
03-01-2011,35.655109
10-01-2011,34.322575
17-01-2011,35.582546
24-01-2011,34.104889
31-01-2011,34.652416
07-02-2011,33.926785
14-02-2011,37.469204
21-02-2011,33.689301
28-02-2011,36.327976
07-03-2011,35.206535
14-03-2011,36.182854
21-03-2011,39.514175
28-03-2011,41.169941
04-04-2011,42.007725
11-04-2011,43.584328
18-04-2011,41.895576
25-04-2011,40.259594
02-05-2011,39.613129
09-05-2011,39.032616
16-05-2011,37.007435
23-05-2011,39.157955
30-05-2011,38.399338
06-06-2011,38.722572
13-06-2011,37.324074
20-06-2011,41.169884
27-06-2011,43.885597
04-07-2011,44.423225
11-07-2011,44.754078
18-07-2011,45.367519
25-07-2011,42.824135
01-08-2011,41.555878
08-08-2011,41.211246
15-08-2011,36.248524
22-08-2011,35.759148
29-08-2011,38.412827
05-09-2011,40.515087
12-09-2011,38.695423
19-09-2011,36.86887
26-09-2011,37.571915
03-10-2011,36.248524
10-10-2011,39.053841
17-10-2011,38.295647
24-10-2011,43.52029
31-10-2011,43.630569
07-11-2011,41.11475
14-11-2011,37.275536
21-11-2011,37.785591
28-11-2011,40.005028
05-12-2011,39.501869
12-12-2011,35.359371
19-12-2011,34.739033
26-12-2011,32.919373
02-01-2012,34.435757
09-01-2012,38.709206
16-01-2012,41.066498
23-01-2012,44.940178
30-01-2012,47.524925
06-02-2012,47.945377
13-02-2012,50.192387
20-02-2012,46.835655
27-02-2012,48.310688
05-03-2012,50.488773
12-03-2012,50.681763
19-03-2012,51.28833
26-03-2012,50.840298
02-04-2012,51.495102
09-04-2012,50.378487
16-04-2012,50.233749
23-04-2012,48.014305
30-04-2012,46.001648
07-05-2012,45.422665
14-05-2012,43.072262
21-05-2012,45.498482
28-05-2012,44.574863
04-06-2012,47.621414
11-06-2012,46.098141
18-06-2012,46.904587
25-06-2012,46.787411
02-07-2012,49.785728
09-07-2012,51.066257
16-07-2012,51.753479
23-07-2012,51.819275
30-07-2012,53.778584
06-08-2012,52.133644
13-08-2012,52.543053
20-08-2012,50.371731
27-08-2012,48.068813
03-09-2012,48.98267
10-09-2012,52.038605
17-09-2012,54.231857
24-09-2012,55.862179
01-10-2012,57.536358
08-10-2012,57.70451
15-10-2012,56.066879
22-10-2012,60.387581
29-10-2012,61.418423
05-11-2012,62.164124
12-11-2012,60.745827
19-11-2012,61.498844
26-11-2012,64.664436
03-12-2012,66.594498
10-12-2012,67.347511
17-12-2012,67.15744
24-12-2012,67.705742
31-12-2012,71.507385
07-01-2013,72.874512
14-01-2013,75.594154
21-01-2013,73.729881
28-01-2013,77.838585
04-02-2013,74.519463
11-02-2013,73.393585
18-02-2013,71.660912
25-02-2013,69.160606
04-03-2013,71.039497
11-03-2013,69.262962
18-03-2013,64.408546
25-03-2013,62.712444
01-04-2013,62.237232
08-04-2013,64.70829
15-04-2013,71.829063
22-04-2013,72.779472
29-04-2013,72.74292
06-05-2013,74.570625
13-05-2013,79.359238
20-05-2013,73.839546
27-05-2013,75.706123
03-06-2013,78.083099
10-06-2013,74.362267
17-06-2013,70.338493
24-06-2013,71.635727
01-07-2013,72.288231
08-07-2013,76.195496
15-07-2013,65.965149
22-07-2013,57.032043
29-07-2013,47.959118
05-08-2013,43.974174
12-08-2013,40.129055
19-08-2013,40.276649
26-08-2013,37.80645
02-09-2013,45.512222
09-09-2013,43.686764
16-09-2013,55.315334
23-09-2013,47.322147
30-09-2013,48.992249
07-10-2013,53.994781
14-10-2013,53.800591
21-10-2013,55.229889
28-10-2013,58.740986
04-11-2013,55.03569
11-11-2013,54.569618
18-11-2013,53.482101
25-11-2013,57.272858
02-12-2013,60.884922
09-12-2013,56.799011
16-12-2013,57.55249
23-12-2013,58.072945
30-12-2013,57.451515
06-01-2014,53.28791
13-01-2014,54.554081
20-01-2014,54.072472
27-01-2014,47.79599
03-02-2014,47.990185
10-02-2014,46.708481
17-02-2014,47.570724
24-02-2014,47.376526
03-03-2014,58.3992
10-03-2014,55.28426
17-03-2014,55.983383
24-03-2014,62.904594
31-03-2014,65.739876
07-04-2014,68.854805
14-04-2014,64.799965
21-04-2014,72.769836
28-04-2014,68.979103
05-05-2014,75.278893
12-05-2014,84.755745
19-05-2014,87.521103
26-05-2014,88.461037
02-06-2014,96.998993
09-06-2014,88.31015
16-06-2014,90.768791
23-06-2014,89.1297
30-06-2014,93.210693
07-07-2014,85.374832
14-07-2014,92.591866
21-07-2014,90.166679
28-07-2014,89.698357
04-08-2014,87.189545
11-08-2014,90.459373
18-08-2014,97.65966
25-08-2014,95.677696
01-09-2014,102.300957
08-09-2014,105.871826
15-09-2014,97.408775
22-09-2014,95.928566
29-09-2014,93.235786
06-10-2014,95.84494
13-10-2014,100.068123
20-10-2014,103.856415
27-10-2014,114.485397
03-11-2014,113.088837
10-11-2014,115.313324
17-11-2014,117.57962
24-11-2014,118.742035
01-12-2014,125.540909
08-12-2014,116.89386
15-12-2014,121.83625
22-12-2014,123.935272
29-12-2014,132.498688
05-01-2015,127.757019
12-01-2015,134.24649
19-01-2015,146.548035
26-01-2015,144.248291
02-02-2015,135.609604
09-02-2015,139.665527
16-02-2015,137.992981
23-02-2015,137.282166
02-03-2015,143.286575
09-03-2015,134.363571
16-03-2015,139.163757
23-03-2015,136.479324
30-03-2015,141.789642
06-04-2015,140.928284
13-04-2015,135.375443
20-04-2015,137.80899
27-04-2015,140.401428
04-05-2015,138.168594
11-05-2015,142.090698
18-05-2015,144.984207
25-05-2015,155.570892
01-06-2015,145.185394
08-06-2015,142.020355
15-06-2015,146.331497
22-06-2015,150.007858
29-06-2015,153.640167
06-07-2015,142.796204
13-07-2015,145.388168
20-07-2015,142.496445
27-07-2015,146.164001
03-08-2015,144.841568
10-08-2015,140.495178
17-08-2015,122.042831
24-08-2015,119.318611
31-08-2015,114.117058
07-09-2015,125.357735
14-09-2015,136.060623
21-09-2015,127.112144
28-09-2015,128.469849
05-10-2015,127.949692
12-10-2015,136.39563
19-10-2015,135.972458
26-10-2015,133.768402
02-11-2015,133.733139
09-11-2015,130.144928
16-11-2015,128.928299
23-11-2015,134.482498
30-11-2015,130.47995
07-12-2015,120.006287
14-12-2015,126.724258
21-12-2015,127.720474
28-12-2015,129.148712
04-01-2016,122.316139
11-01-2016,117.026405
18-01-2016,120.605797
25-01-2016,131.678955
01-02-2016,137.012756
08-02-2016,128.44342
15-02-2016,125.639862
22-02-2016,121.055428
29-02-2016,133.838928
07-03-2016,141.165192
14-03-2016,143.572021
21-03-2016,149.743393
28-03-2016,150.863022
04-04-2016,149.769836
11-04-2016,153.428558
18-04-2016,154.41597
25-04-2016,166.264969
02-05-2016,160.490341
09-05-2016,167.605026
16-05-2016,172.392227
23-05-2016,180.820541
30-05-2016,185.034668
06-06-2016,197.095306
13-06-2016,198.494781
20-06-2016,200.283539
27-06-2016,209.403336
04-07-2016,207.651672
11-07-2016,218.578751
18-07-2016,214.408096
25-07-2016,225.576172
01-08-2016,233.268677
08-08-2016,239.246597
15-08-2016,247.634216
22-08-2016,245.882553
29-08-2016,257.347198
05-09-2016,236.568115
12-09-2016,216.836334
19-09-2016,228.579025
26-09-2016,232.573563
03-10-2016,236.113983
10-10-2016,233.546722
17-10-2016,244.195786
24-10-2016,235.835938
31-10-2016,221.711365
07-11-2016,225.196167
14-11-2016,218.866058
21-11-2016,216.447083
28-11-2016,213.193985
05-12-2016,226.095184
12-12-2016,219.116302
19-12-2016,208.476532
26-12-2016,214.361755
02-01-2017,231.099945
09-01-2017,244.316223
16-01-2017,251.851196
23-01-2017,259.274933
30-01-2017,259.098846
06-02-2017,261.88855
13-02-2017,267.087921
20-02-2017,268.172302
27-02-2017,265.762634
06-03-2017,274.585815
13-03-2017,279.507172
20-03-2017,283.427612
27-03-2017,286.708496
03-04-2017,288.525024
10-04-2017,299.618958
17-04-2017,286.226563
24-04-2017,302.186218
01-05-2017,298.200958
08-05-2017,274.910217
15-05-2017,265.08606
22-05-2017,276.856506
29-05-2017,274.660004
05-06-2017,287.516724
12-06-2017,278.768402
19-06-2017,277.204132
26-06-2017,282.630829
03-07-2017,290.790131
10-07-2017,302.155212
17-07-2017,304.675446
24-07-2017,355.697693
31-07-2017,349.150879
07-08-2017,335.912537
14-08-2017,332.310852
21-08-2017,332.059845
28-08-2017,343.067657
04-09-2017,345.491302
11-09-2017,356.315674
18-09-2017,348.243225
25-09-2017,337.959595
02-10-2017,353.216064
09-10-2017,356.981934
16-10-2017,345.491302
23-10-2017,296.487122
30-10-2017,314.736969
06-11-2017,293.590332
13-11-2017,295.569824
20-11-2017,302.280731
27-11-2017,296.294067
04-12-2017,301.94281
11-12-2017,305.032715
18-12-2017,299.480469
25-12-2017,304.308472
01-01-2018,321.399628
08-01-2018,329.172668
15-01-2018,337.332001
22-01-2018,349.160583
29-01-2018,337.042297
05-02-2018,314.350739
12-02-2018,301.073761
19-02-2018,312.322998
26-02-2018,310.005524
05-03-2018,292.817871
12-03-2018,302.135895
19-03-2018,276.78891
26-03-2018,294.362823
02-04-2018,303.680878
09-04-2018,298.901123
16-04-2018,297.935547
23-04-2018,336.897461
30-04-2018,333.22821
07-05-2018,338.20105
14-05-2018,333.614441
21-05-2018,327.724274
28-05-2018,330.910767
04-06-2018,326.034485
11-06-2018,321.810699
18-06-2018,326.141754
25-06-2018,330.570099
02-07-2018,343.17392
09-07-2018,365.948364
16-07-2018,376.167664
23-07-2018,360.108734
30-07-2018,363.223206
06-08-2018,372.615234
13-08-2018,382.688568
20-08-2018,364.196503
27-08-2018,334.3172
03-09-2018,314.754517
10-09-2018,314.462524
17-09-2018,220.444946
24-09-2018,178.740448
01-10-2018,200.492981
08-10-2018,239.861618
15-10-2018,212.07486
22-10-2018,175.869339
29-10-2018,203.510117
05-11-2018,221.807526
12-11-2018,185.893982
19-11-2018,190.322342
26-11-2018,165.260727
03-12-2018,161.756943
10-12-2018,175.528687
17-12-2018,178.059174
24-12-2018,176.599274
31-12-2018,184.580063
07-01-2019,179.324417
14-01-2019,193.290802
21-01-2019,213.729416
28-01-2019,180.638336
04-02-2019,170.419052
11-02-2019,213.145447
18-02-2019,216.065262
25-02-2019,231.248215
04-03-2019,226.089905
11-03-2019,238.499069
18-03-2019,245.847229
25-03-2019,267.745728
01-04-2019,259.716278
08-04-2019,260.73819
15-04-2019,248.96167
22-04-2019,230.858902
29-04-2019,171.197632
06-05-2019,159.469788
13-05-2019,130.563751
20-05-2019,137.425278
27-05-2019,143.848846
03-06-2019,136.160034
10-06-2019,115.050003
17-06-2019,109.599998
24-06-2019,108.75
01-07-2019,88.150002
08-07-2019,94.199997
15-07-2019,83.25
22-07-2019,96.050003
29-07-2019,88.300003
05-08-2019,82.150002
12-08-2019,79.449997
19-08-2019,59.25
26-08-2019,59.950001
30-08-2019,59.950001
